level1ID,level2ID,level3ID,modelID,activityID,riskID,controlID
3,34,246,1737,117339,,
3,34,246,1737,117092,,
3,34,246,1737,128089,,
3,34,246,1737,117939,,
3,34,246,1737,117937,3524.0,5210.0
3,34,246,1737,117937,4476.0,2924.0
3,34,246,1737,117938,,
3,34,246,1737,132043,,
3,34,246,1737,128099,,
3,34,246,1737,128088,,
3,34,246,1737,128072,,
3,34,246,1737,117936,,
3,34,246,1737,117941,,
3,34,246,1737,133643,5293.0,5151.0
3,34,246,1737,131605,,
3,34,246,1737,117940,,
3,34,246,1737,134547,,
3,34,246,1737,133641,,
3,34,246,1737,134546,,
3,34,246,1737,128070,4475.0,4605.0
3,34,246,1737,128071,,
3,34,246,1737,112972,,
3,34,246,1737,128144,,
3,34,246,1737,133644,,
3,34,246,1737,133642,,
3,34,246,1737,112971,,
3,34,246,1843,126648,,
3,34,246,1843,126649,,
3,34,246,1843,121722,,
3,34,246,1843,121721,,
3,34,246,1843,121607,,
3,34,246,1843,121720,,
3,34,246,1843,132837,,
3,34,246,1843,132861,,
3,34,246,1843,104285,,
3,34,246,1843,107541,2149.0,3521.0
3,34,246,1843,121782,,
3,34,246,1843,116086,,
3,34,246,1843,132860,,
3,34,246,1843,117543,,
3,34,246,1843,132838,,
3,34,246,998,118389,,
3,34,246,998,118516,,
3,34,246,998,118390,,
3,34,246,998,118512,,
3,34,246,998,118514,,
3,34,246,998,118488,,
3,34,246,998,118501,,
3,34,246,998,118513,,
3,34,246,998,118530,,
3,34,246,998,109566,1521.0,3816.0
3,34,246,998,123631,,
3,34,246,998,118487,5114.0,3015.0
3,34,246,998,118500,,
3,34,246,998,118518,,
3,34,246,998,118486,,
3,34,246,998,109565,,
3,34,246,998,118517,,
3,34,246,998,118489,,
3,34,246,998,118391,,
3,34,246,998,118480,,
3,34,246,998,118479,,
3,34,246,998,118515,,
3,34,246,296,130625,,
3,34,246,296,130626,,
3,34,246,296,130496,4750.0,1879.0
3,34,246,296,111633,,
3,34,246,296,129263,,
3,34,246,296,130616,,
3,34,246,296,128804,,
3,34,246,296,130627,,
3,34,246,296,130613,1140.0,4703.0
3,34,246,296,128639,,
3,34,246,296,132785,,
3,34,246,296,101870,4351.0,3295.0
3,34,246,296,120355,,
3,34,246,296,130614,,
3,34,246,296,132783,4338.0,4562.0
3,34,246,296,127882,,
3,34,246,296,131140,,
3,34,246,296,119809,3104.0,3205.0
3,34,246,296,119810,,
3,34,246,296,130615,,
3,34,246,296,132786,,
3,34,246,296,132784,,
3,34,246,1161,118120,885.0,5014.0
3,34,246,1161,130751,,
3,34,246,1161,127548,,
3,34,246,1161,105299,,
3,34,246,1161,106999,952.0,1098.0
3,34,246,1161,107000,,
3,34,246,1161,101887,,
3,34,246,1161,127547,,
3,34,246,1161,118122,,
3,34,246,1161,118118,,
3,34,246,1161,105300,,
3,34,246,1161,101889,,
3,34,246,1161,118119,,
3,34,246,1161,105297,,
3,34,246,1161,118121,,
3,34,246,1161,101886,4925.0,5163.0
3,34,246,1161,131658,,
3,34,246,1161,101888,,
3,34,246,1161,105298,,
3,34,246,157,135106,,
3,34,246,157,126073,,
3,34,246,157,134905,,
3,34,246,157,134906,,
3,34,246,157,113407,,
3,34,246,157,100113,,
3,34,246,157,126072,,
3,34,246,533,107968,,
3,34,246,533,109716,,
3,34,246,533,109718,1548.0,1565.0
3,34,246,533,109719,,
3,34,246,533,109717,,
3,34,246,533,117411,,
3,34,246,533,117412,4093.0,5160.0
3,34,246,533,131629,,
3,34,246,1690,107091,,
3,34,246,1690,130530,4758.0,4400.0
3,34,246,1690,126928,,
3,34,246,1690,108144,,
3,34,246,1690,130531,,
3,34,246,1690,106900,1297.0,1282.0
3,34,246,1690,108143,,
3,34,246,1690,106898,,
3,34,246,1690,130533,4759.0,4706.0
3,34,246,1690,128647,,
3,34,246,1690,106902,,
3,34,246,1690,130532,,
3,34,246,1690,106901,,
3,34,246,1690,130649,,
3,34,246,1690,107092,,
3,34,246,1690,107093,,
3,34,246,1690,106899,1088.0,1126.0
3,34,246,1690,107251,,
3,34,246,1690,107094,1121.0,4399.0
3,34,246,1690,126927,,
3,34,246,1992,100878,,
3,34,246,1992,123979,,
3,34,246,1992,118984,,
3,34,246,1992,118983,,
3,34,246,1992,123980,,
3,34,246,1992,109942,,
3,34,246,1992,118982,,
3,34,246,1992,123981,,
3,34,246,1241,124195,,
3,34,246,1241,100501,2230.0,5066.0
3,34,246,1241,131046,,
3,34,246,1241,124194,1607.0,2259.0
3,34,246,1241,113887,,
3,34,246,1241,119214,,
3,34,246,1241,119212,,
3,34,246,1241,100502,,
3,34,246,1241,119213,,
3,34,246,1241,119947,3534.0,5064.0
3,34,246,1241,131010,,
3,34,246,1844,122601,,
3,34,246,1844,126513,,
3,34,246,1844,122600,,
3,34,246,1844,118237,,
3,34,246,1844,126515,,
3,34,246,1844,126514,,
3,34,246,1844,127344,4257.0,3196.0
3,34,246,1844,119754,,
3,34,246,708,121724,,
3,34,246,708,115019,,
3,34,246,708,116802,,
3,34,246,708,109933,,
3,34,246,708,115095,,
3,34,246,708,131177,,
3,34,246,708,116801,,
3,34,246,708,115096,,
3,34,246,708,115098,2370.0,2465.0
3,34,246,708,115104,,
3,34,246,708,112464,,
3,34,246,708,121723,,
3,34,246,708,116800,,
3,34,246,708,120249,,
3,34,246,708,115018,2385.0,2464.0
3,34,246,708,115097,,
3,34,246,243,109936,,
3,34,246,243,109935,,
3,34,246,243,124559,,
3,34,246,243,123898,,
3,34,246,243,124558,,
3,34,246,1210,121016,,
3,34,246,1210,120929,,
3,34,246,1210,121015,,
3,34,246,1210,120931,3268.0,5088.0
3,34,246,1210,120931,2223.0,2273.0
3,34,246,1210,113933,,
3,34,246,1210,131176,,
3,34,246,1210,121014,,
