level1,level1ID
Finance Management,3
Credit Management,2
Management of Transactional Products and Services,6
Risk Management and Controls,8
Financial Information and Regulatory Reporting,4
ICT Management and Information Security,5
Bank Insurance Management,0
Business Development and Relationship Management,1
Resources management,7
"Strategies, Planning and Management Control",9
